epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.694,1.83335,2.40027,2.00651,0.1114,0.10326,0.03796,0.00321,0.01068,2.30799,7.56186,2.60717,0.0670721,0.000332606,0.000332606
2,321.62,1.78411,2.1526,1.9886,0.32837,0.28043,0.22848,0.06035,0.09433,2.08933,2.55273,2.21873,0.034068,0.00066188,0.00066188
3,467.705,1.79074,2.07128,1.98936,0.08197,0.29674,0.07739,0.01996,0.03154,2.31049,3.66244,2.39441,0.00104784,0.000975063,0.000975063
4,611.26,1.81605,2.0725,2.03101,0.2563,0.24565,0.19173,0.03355,0.07042,2.20797,2.67317,2.362,0.000946048,0.000946048,0.000946048
5,756.239,1.77989,2.09652,2.00762,0.40413,0.34674,0.32979,0.06388,0.11588,2.02022,2.27496,2.10847,0.000905463,0.000905463,0.000905463
6,915.596,1.69737,1.98322,1.92012,0.46776,0.37391,0.38931,0.05623,0.14126,2.15487,2.05818,2.18669,0.000855018,0.000855018,0.000855018
7,1064,1.66041,1.90725,1.9053,0.65172,0.46522,0.56068,0.28013,0.29426,1.74293,1.75591,1.79669,0.000795954,0.000795954,0.000795954
8,1209.26,1.57177,1.76715,1.80989,0.68065,0.5413,0.62173,0.33984,0.33406,1.64059,1.49785,1.73272,0.000729725,0.000729725,0.000729725
9,1354.51,1.56893,1.68358,1.81147,0.73568,0.57065,0.67638,0.40787,0.38763,1.51791,1.36873,1.63462,0.000657963,0.000657963,0.000657963
10,1500.04,1.49295,1.55657,1.73408,0.72958,0.53804,0.65375,0.35962,0.35818,1.61095,1.42129,1.66794,0.000582435,0.000582435,0.000582435
11,1646.06,1.4743,1.52472,1.72005,0.74232,0.59022,0.66762,0.25417,0.32935,1.7371,1.42504,1.7555,0.000505,0.000505,0.000505
12,1791.22,1.44015,1.44918,1.68795,0.72245,0.60435,0.6913,0.38436,0.37644,1.6114,1.32406,1.65488,0.000427565,0.000427565,0.000427565
13,1935.58,1.39333,1.37624,1.65977,0.7212,0.64106,0.72185,0.44872,0.41424,1.56377,1.2683,1.60312,0.000352037,0.000352037,0.000352037
14,2078.01,1.37848,1.3422,1.64119,0.75432,0.63075,0.73114,0.51468,0.45089,1.42493,1.22101,1.52877,0.000280275,0.000280275,0.000280275
15,2219.61,1.35505,1.29986,1.63076,0.74989,0.65831,0.74968,0.51062,0.45674,1.45211,1.204,1.5526,0.000214046,0.000214046,0.000214046
16,2377.52,1.33317,1.27283,1.59687,0.8312,0.63159,0.76469,0.56024,0.47901,1.38994,1.14005,1.49303,0.000154982,0.000154982,0.000154982
17,2522.65,1.30182,1.20786,1.56138,0.81656,0.64836,0.7781,0.53224,0.45829,1.47116,1.13124,1.53928,0.000104537,0.000104537,0.000104537
18,2665.63,1.29025,1.17878,1.54678,0.82413,0.65978,0.77434,0.53156,0.45283,1.50178,1.15243,1.56373,6.39518e-05,6.39518e-05,6.39518e-05
19,2807.53,1.29607,1.172,1.5685,0.8024,0.66206,0.77829,0.47872,0.4321,1.59842,1.15202,1.62852,3.4227e-05,3.4227e-05,3.4227e-05
20,2953.96,1.27825,1.15786,1.54439,0.8184,0.65652,0.77898,0.51045,0.44318,1.56218,1.13831,1.602,1.60943e-05,1.60943e-05,1.60943e-05
