epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.368,1.66189,2.18651,1.90215,0.18058,0.20761,0.1133,0.01306,0.03747,2.16565,2.91647,2.42982,0.0670721,0.000332606,0.000332606
2,388.085,1.6831,1.97817,1.94761,0.06928,0.18909,0.0736,0.0142,0.02654,2.10409,5.78672,2.32891,0.034068,0.00066188,0.00066188
3,558.53,1.61665,1.93647,1.92279,0.22442,0.31957,0.23254,0.05006,0.09114,2.12122,2.76768,2.35045,0.00104784,0.000975063,0.000975063
4,725.773,1.6321,1.90034,1.93161,0.50527,0.39022,0.40965,0.1714,0.19486,1.84628,1.96053,2.04497,0.000946048,0.000946048,0.000946048
5,914.718,1.54768,1.7835,1.86607,0.60533,0.47065,0.54212,0.21665,0.25823,1.73498,1.71137,1.89567,0.000905463,0.000905463,0.000905463
6,1105.68,1.4867,1.6643,1.80355,0.55585,0.47174,0.53805,0.25751,0.27392,1.69258,1.69021,1.84207,0.000855018,0.000855018,0.000855018
7,1276.41,1.42175,1.57429,1.76065,0.71296,0.61556,0.69791,0.44827,0.40656,1.44597,1.32815,1.64867,0.000795954,0.000795954,0.000795954
8,1446.77,1.38521,1.47343,1.70276,0.68791,0.58219,0.67496,0.43643,0.39181,1.41965,1.33113,1.61472,0.000729725,0.000729725,0.000729725
9,1618.38,1.37916,1.41195,1.70781,0.75011,0.60689,0.72475,0.42002,0.39583,1.49838,1.25604,1.67353,0.000657963,0.000657963,0.000657963
10,1777.27,1.33247,1.32928,1.6535,0.81822,0.58222,0.73876,0.51677,0.45066,1.33213,1.14825,1.53009,0.000582435,0.000582435,0.000582435
11,1951.8,1.3172,1.28508,1.65326,0.82872,0.62609,0.77086,0.50061,0.44402,1.47127,1.10271,1.62486,0.000505,0.000505,0.000505
12,2123.38,1.28114,1.22361,1.61916,0.78639,0.66196,0.77473,0.54209,0.46593,1.42097,1.06791,1.6069,0.000427565,0.000427565,0.000427565
13,2295.64,1.24214,1.14796,1.59658,0.82834,0.65564,0.79158,0.576,0.48237,1.39405,1.02471,1.56687,0.000352037,0.000352037,0.000352037
14,2466.39,1.22509,1.1081,1.57637,0.79488,0.67816,0.79054,0.58934,0.48444,1.41076,1.02597,1.59709,0.000280275,0.000280275,0.000280275
15,2642.19,1.19669,1.04717,1.55341,0.85339,0.66739,0.81049,0.59028,0.49752,1.39038,0.97095,1.57855,0.000214046,0.000214046,0.000214046
16,2816.25,1.19049,1.01886,1.54242,0.85573,0.6834,0.81969,0.65035,0.52152,1.31511,0.93861,1.5051,0.000154982,0.000154982,0.000154982
17,2991.58,1.15966,0.96828,1.5091,0.88298,0.6587,0.82102,0.62717,0.51015,1.35632,0.93568,1.53154,0.000104537,0.000104537,0.000104537
18,3169.11,1.15297,0.94938,1.49327,0.84727,0.68913,0.82558,0.61677,0.50048,1.41713,0.94725,1.58655,6.39518e-05,6.39518e-05,6.39518e-05
19,3343.26,1.14818,0.94926,1.50505,0.81995,0.70289,0.82371,0.51573,0.46286,1.54605,0.96497,1.67882,3.4227e-05,3.4227e-05,3.4227e-05
20,3512.43,1.14039,0.93098,1.48701,0.78035,0.73478,0.8286,0.55997,0.47437,1.50711,0.95456,1.64845,1.60943e-05,1.60943e-05,1.60943e-05
