epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0
1,1.8286132221172722,2.396154374306182,1.9984863104669328,0.09877006641689379,0.07544122469575024,0.08461714228808793,0.05085854314838141,0.0007943282347242815
2,1.757817616697597,2.2663504759403237,1.951561879526578,0.1414603046610509,0.11892222930271872,0.12651006765094808,0.07603799372501573,0.0006309573444801933
3,1.7260930510362409,2.295779653185404,1.9540244879465067,0.19804017024252712,0.1570309659769966,0.18892658711833527,0.11355300738142446,0.0005011872336272722
4,1.6991797729545457,2.194155752329424,1.9431482926991628,0.26532006712858225,0.20479148123566301,0.2199011534120166,0.1321700543975745,0.00039810717055349724
5,1.6644514733564475,2.142166622512185,1.8969617917697004,0.2860205950354838,0.227325072273258,0.2586903616712892,0.15548403745823253,0.00031622776601683794
6,1.6303687685891193,2.0731404725665086,1.9014184729792305,0.3387294125643025,0.28847318350413903,0.3069965735858143,0.18451814918260806,0.000251188643150958
7,1.5857235906500786,1.9960573345072987,1.844335055311569,0.3739768607343225,0.32655726661758744,0.3540312513740466,0.21278801418961604,0.00019952623149688798
8,1.5555014909686675,1.9396932675258314,1.8447732162687405,0.44216240475448826,0.3617882673283652,0.4036024504977854,0.2425824376525151,0.00015848931924611134
9,1.5393399851251561,1.94157953496786,1.809256087917051,0.5203686938078843,0.4142466912065517,0.4503473550924026,0.2706781365027348,0.00012589254117941674
10,1.4834608870577184,1.8499834406731,1.7872755605236494,0.5225660612165458,0.44009797290877584,0.4881742719490649,0.29341374102805595,0.0001
11,1.4623773399852489,1.7386792570667444,1.7407745119739806,0.5943568368920217,0.48005612948616116,0.5408131856570161,0.3250519929437867,7.943282347242814e-05
12,1.3953026197931067,1.637767486695564,1.7034581546175918,0.6672095197360328,0.5391378396330165,0.5922676951649006,0.355978366976557,6.309573444801933e-05
13,1.3872855728931812,1.6256602845969732,1.6873955896803414,0.6981459447502955,0.5710968420148412,0.6335544681421571,0.3807934938898754,5.011872336272723e-05
14,1.371161416816546,1.5324874458370392,1.6973293890095085,0.7412036221165293,0.6265576294208582,0.6814282982807094,0.4095677255637641,3.9810717055349735e-05
15,1.3120193949896735,1.4310537933492087,1.6793782137219648,0.768769776470947,0.6546429875373951,0.7093075153801581,0.42632433453748747,3.1622776601683795e-05
16,1.2847511613554095,1.3608444967430802,1.5956974489284677,0.8463927939613058,0.6696323049100078,0.7595836207711976,0.45654243699546554,2.5118864315095798e-05
17,1.2106238922628567,1.2871247692355716,1.6000334450171678,0.8354006616048478,0.6898039335764294,0.7616024635965291,0.4577558483937417,1.99526231496888e-05
18,1.1822837523773113,1.3000485950517982,1.6119704528836136,0.846562535300537,0.7082890490110314,0.7734935005061245,0.46490287318555856,1.5848931924611134e-05
19,1.152181605065068,1.234529276303969,1.5396259380843975,0.8435694141390575,0.6837144723201573,0.7653324449300904,0.45999772765680796,1.2589254117941675e-05
20,1.1440681176595393,1.1798948093708426,1.5044997770544664,0.8414771163155412,0.6878345994556637,0.7708774496303444,0.4633305140542227,1e-05
