epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0
1,1.8035162080812224,2.4241886506694534,2.0014356273231204,0.11001676724651666,0.0905230704753873,0.09454101328108233,0.06007891852491624,0.0007943282347242815
2,1.7927440528443135,2.3807083778852953,1.9886981797562706,0.15766685688193738,0.14971415050321701,0.14437980183549629,0.09175046945317687,0.0006309573444801933
3,1.749400562336246,2.247858932328481,1.9591089841721654,0.20012366389794228,0.17051082322177222,0.19401253708495358,0.12329107763721839,0.0005011872336272722
4,1.6596288573032878,2.1516526931024105,1.9111823540822497,0.24756282694493292,0.1999759788936228,0.23305058999993614,0.14809897760627777,0.00039810717055349724
5,1.6873026455694868,2.141013905280505,1.9108726214305498,0.3063776515788354,0.24664870797038568,0.2817192990871081,0.17902696649156447,0.00031622776601683794
6,1.6036062349446023,2.0407061573488794,1.9042787131368741,0.34892087945419126,0.29378442339305777,0.33125281588164224,0.2105045233366937,0.000251188643150958
7,1.6054869897168782,2.0230144420043885,1.8435298582661392,0.42873263668819234,0.3420366030457194,0.3897803714853432,0.24769761152713796,0.00019952623149688798
8,1.5219828122074655,1.9326711430632781,1.8149488156727311,0.47969863827347603,0.37972772942231076,0.4324055267496261,0.27478504312278795,0.00015848931924611134
9,1.5426512938922654,1.8760895817825431,1.8126947800650786,0.5342923878114172,0.4534441460867275,0.49215219827571194,0.312752855040337,0.00012589254117941674
10,1.4976693116033235,1.8346592850414227,1.776995881761419,0.5670970917002336,0.49548500506837384,0.5235445718637965,0.3327020790823398,0.0001
11,1.4084085252515772,1.7858788158830023,1.7377157815396267,0.6435982085475065,0.530935224082562,0.5837266308282422,0.3709465709880567,7.943282347242814e-05
12,1.3757993588429511,1.7121829092963792,1.7536430154236884,0.6814000637613974,0.5573272519959409,0.6302554409712673,0.4005146969963218,6.309573444801933e-05
13,1.3609973366790185,1.6324551887526517,1.7135132519216396,0.7444290339282937,0.6029769143553427,0.6745983095289292,0.4286937009521628,5.011872336272723e-05
14,1.3286430582058126,1.5323515001494523,1.672496185809439,0.8124010207911727,0.6573892627034308,0.7255869676639065,0.4610959709455931,3.9810717055349735e-05
15,1.3305191350844234,1.556046885330293,1.6204733528275843,0.8498268952774858,0.6902287974758917,0.7758559876678087,0.4930409253344642,3.1622776601683795e-05
16,1.3071591801072504,1.383026367215003,1.6477616424806003,0.8966910262680186,0.7376785857171371,0.8170352803001687,0.5192095402150526,2.5118864315095798e-05
17,1.2880768051485603,1.4388749224955777,1.5603582283968618,0.9080953768054675,0.7232934016584327,0.8236186308497285,0.5233931275023185,1.99526231496888e-05
18,1.2085097823345754,1.3020618821719272,1.5729779599265847,0.8899588945422758,0.7199497807864994,0.8117805374695372,0.5158702564964374,1.5848931924611134e-05
19,1.1602712786195302,1.2492961903090791,1.5642063629894303,0.9171092304585503,0.7436316834101548,0.8248100555745868,0.524150254028565,1.2589254117941675e-05
20,1.1391005199342121,1.1842272471125392,1.5201495721138172,0.9179284825642332,0.7527404278620696,0.8247518490313667,0.5241132649373084,1e-05
